Epochs,N_modes,Loss
865,2,2.06126878038049e-03
866,2,2.06146412529051e-03
867,2,2.0616545807570202e-03
868,2,2.0618438720703099e-03
869,2,2.0620357245206798e-03
870,2,2.06222967244685e-03
871,2,2.0624231547117199e-03
872,2,2.0626133773475898e-03
873,2,2.0627994090318701e-03
874,2,2.06298311240971e-03
875,2,2.0631663501262699e-03
876,2,2.0633505191654002e-03
877,2,2.0635335240513099e-03
878,2,2.0637139678001399e-03
879,2,2.0638918504118902e-03
880,2,2.0640681032091401e-03
881,2,2.0642441231757398e-03
882,2,2.0644199103117002e-03
883,2,2.0645943004638e-03
884,2,2.0647663623094602e-03
885,2,2.0649367943406101e-03
886,2,2.0651058293879002e-03
887,2,2.06527393311262e-03
888,2,2.0654408726841198e-03
889,2,2.06560594961047e-03
890,2,2.0657698623836001e-03
891,2,2.06593284383416e-03
892,2,2.0660951267927898e-03
893,2,2.0662569440901301e-03
894,2,2.06641759723425e-03
895,2,2.0665766205638599e-03
896,2,2.0667342469096201e-03
897,2,2.0668900106102202e-03
898,2,2.0670443773269701e-03
899,2,2.0671973470598498e-03
900,2,2.06734915263951e-03
901,2,2.0675004925578798e-03
902,2,2.0676513668149701e-03
903,2,2.0678015425801299e-03
904,2,2.06795101985335e-03
905,2,2.06809910014272e-03
906,2,2.0682453177869298e-03
907,2,2.0683899056166402e-03
908,2,2.0685330964624899e-03
909,2,2.0686753559857598e-03
910,2,2.0688169170171001e-03
911,2,2.06895754672587e-03
912,2,2.06909701228142e-03
913,2,2.0692355465143902e-03
914,2,2.06937314942479e-03
915,2,2.0695098210126201e-03
916,2,2.0696453284472201e-03
917,2,2.0697796717286101e-03
918,2,2.0699123851954898e-03
919,2,2.0700439345091599e-03
920,2,2.0701743196696e-03
921,2,2.0703033078461898e-03
922,2,2.0704311318695502e-03
923,2,2.0705575589090599e-03
924,2,2.0706821233034099e-03
925,2,2.0708052907139102e-03
926,2,2.0709268283098901e-03
927,2,2.07104766741395e-03
928,2,2.0711694378405801e-03
929,2,2.0712928380817201e-03
930,2,2.0714153070002799e-03
931,2,2.0715349819511201e-03
932,2,2.0716509316116602e-03
933,2,2.0717657171189798e-03
934,2,2.07188073545694e-03
935,2,2.0719957537949098e-03
936,2,2.07210844382644e-03
937,2,2.07221740856767e-03
938,2,2.0723242778330998e-03
939,2,2.0724313799291801e-03
940,2,2.0725403446704102e-03
941,2,2.0726507063955099e-03
942,2,2.0727601367980198e-03
943,2,2.07286817021668e-03
944,2,2.0729757379740498e-03
945,2,2.0730812102556198e-03
946,2,2.0731829572469e-03
947,2,2.0732828415930302e-03
948,2,2.0733838900923699e-03
949,2,2.0734877325594399e-03
950,2,2.0735918078571601e-03
951,2,2.0736916922032798e-03
952,2,2.0737869199365399e-03
953,2,2.0738805178552901e-03
954,2,2.0739750470966101e-03
955,2,2.07407120615244e-03
956,2,2.0741671323776202e-03
957,2,2.0742597989738001e-03
958,2,2.07435083575547e-03
959,2,2.0744425710290701e-03
960,2,2.0745357032865299e-03
961,2,2.0746279042214199e-03
962,2,2.0747182425111502e-03
963,2,2.07480625249445e-03
964,2,2.0748928654938902e-03
965,2,2.0749778486788299e-03
966,2,2.0750623662024702e-03
967,2,2.0751466508954798e-03
968,2,2.07523046992719e-03
969,2,2.0753135904669801e-03
970,2,2.07539647817612e-03
971,2,2.0754779689014001e-03
972,2,2.0755580626428101e-03
973,2,2.0756365265697202e-03
974,2,2.0757145248353499e-03
975,2,2.0757920574396801e-03
976,2,2.0758693572133801e-03
977,2,2.0759454928338502e-03
978,2,2.0760204643011102e-03
979,2,2.0760947372764301e-03
980,2,2.0761680789291902e-03
981,2,2.0762404892593601e-03
982,2,2.0763115026056801e-03
983,2,2.0763806533068401e-03
984,2,2.07644794136286e-03
985,2,2.0765140652656599e-03
986,2,2.07658112049103e-03
987,2,2.0766519010066999e-03
988,2,2.0767257083207399e-03
989,2,2.07679672166705e-03
990,2,2.0768619142472701e-03
991,2,2.07692408002913e-03
992,2,2.07698810845613e-03
993,2,2.0770546980202198e-03
994,2,2.0771198906004399e-03
995,2,2.0771813578903701e-03
996,2,2.07724119536579e-03
997,2,2.0773019641637802e-03
998,2,2.07736273296177e-03
999,2,2.0774211734533301e-03
1000,2,2.0774775184691e-03
1001,2,2.07753339782357e-03
1002,2,2.07758927717805e-03
1003,2,2.07764469087124e-03
1004,2,2.0776989404112101e-03
1005,2,2.0777538884431102e-03
1006,2,2.0778113976120901e-03
1007,2,2.0778707694262301e-03
1008,2,2.0779292099177798e-03
1009,2,2.0779853221029e-03
1010,2,2.0780386403203002e-03
1011,2,2.07808963023126e-03
1012,2,2.07813922315836e-03
1013,2,2.0781890489161002e-03
1014,2,2.0782416686415698e-03
1015,2,2.0782968495041102e-03
1016,2,2.0783517975360198e-03
1017,2,2.07840278744698e-03
1018,2,2.0784498192369899e-03
1019,2,2.0784956868737901e-03
1020,2,2.0785436499863902e-03
1021,2,2.07859463989735e-03
1022,2,2.07864539697766e-03
1023,2,2.0786931272596099e-03
1024,2,2.0787380635738399e-03
1025,2,2.0787823013961302e-03
1026,2,2.07882700487971e-03
1027,2,2.0788724068552299e-03
1028,2,2.0789175760000901e-03
1029,2,2.0789615809917398e-03
1030,2,2.0790046546608201e-03
1031,2,2.0790470298379699e-03
1032,2,2.0790894050151101e-03
1033,2,2.07913131453097e-03
1034,2,2.0791729912161801e-03
1035,2,2.0792142022401099e-03
1036,2,2.07925471477211e-03
1037,2,2.0792949944734599e-03
1038,2,2.0793345756828798e-03
1039,2,2.0793739240616599e-03
1040,2,2.0794130396097898e-03
1041,2,2.0794514566659901e-03
1042,2,2.0794896408915498e-03
1043,2,2.07952735945582e-03
1044,2,2.0795646123588098e-03
1045,2,2.07960116676986e-03
1046,2,2.0796367898583399e-03
1047,2,2.07967148162425e-03
1048,2,2.0797052420675798e-03
1049,2,2.0797385368496201e-03
1050,2,2.0797715988010198e-03
1051,2,2.07980582490563e-03
1052,2,2.0798414479941099e-03
1053,2,2.0798782352358098e-03
1054,2,2.0799145568162198e-03
1055,2,2.0799490157514802e-03
1056,2,2.0799811463803101e-03
1057,2,2.0800118800252702e-03
1058,2,2.0800423808395902e-03
1059,2,2.0800733473151901e-03
1060,2,2.0801043137907999e-03
1061,2,2.0801345817744702e-03
1062,2,2.0801634527742902e-03
1063,2,2.08019092679024e-03
1064,2,2.0802174694836101e-03
1065,2,2.0802440121769901e-03
1066,2,2.08027218468487e-03
1067,2,2.0803019870072599e-03
1068,2,2.0803331863135099e-03
1069,2,2.08036438561976e-03
1070,2,2.0803937222808599e-03
1071,2,2.0804207306355199e-03
1072,2,2.0804461091756799e-03
1073,2,2.0804724190384102e-03
1074,2,2.0805022213608e-03
1075,2,2.0805352833122002e-03
1076,2,2.0805685780942401e-03
1077,2,2.08059838041663e-03
1078,2,2.08062375895679e-03
1079,2,2.08064797334373e-03
1080,2,2.0806740503758201e-03
