,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
61,61.0,0.41824428379442136,1.0,-1.280941942645773e-05,1.0,0.0019487652179462217,655.0
62,62.0,0.7272094024268808,1.0,-9.535242515937231e-06,1.0,0.0019487842627001477,656.0
63,63.0,2.7254096070469465,1.0,-6.236931668178962e-06,1.0,0.0019488030007183015,657.0
64,64.0,1.5830080191909646,1.0,-2.910780513553559e-06,1.0,0.001948821470973046,658.0
65,65.0,0.617661978746701,1.0,4.46841295067401e-07,1.0,0.0019488396973790538,659.0
66,66.0,0.3855884587844221,1.0,3.839488568643194e-06,1.0,0.0019488576829665345,660.0
67,67.0,0.28139972081326725,1.0,7.270640819716147e-06,2.0,0.0019488754180972288,661.0
68,68.0,0.22229360411568735,1.0,1.0743702200259262e-05,2.0,0.0019489135587705188,662.0
69,69.0,0.18425760510072026,1.0,1.4262001174450631e-05,2.0,0.0019489466092844614,663.0
70,70.0,0.1577581159163794,1.0,1.7828789987621007e-05,2.0,0.0019489940817671613,664.0
71,71.0,0.1382570077967538,1.0,2.144724396456301e-05,2.0,0.0019490417995533269,665.0
72,72.0,0.12331865834293093,1.0,2.512046063462198e-05,2.0,0.001949090485814959,666.0
73,73.0,0.11151874533926745,1.0,2.8851458668575982e-05,2.0,0.0019491405464588973,667.0
74,74.0,0.10196874190889514,1.0,3.264317662864665e-05,2.0,0.0019491926293647476,668.0
75,75.0,0.09408564774768921,1.0,3.6498471556812365e-05,2.0,0.0019492472245936513,669.0
76,76.0,0.08747107821467201,1.0,4.042011743106288e-05,2.0,0.0019493045965891947,670.0
77,77.0,0.08184356362197669,1.0,4.441080350365065e-05,2.0,0.0019493649859928786,671.0
78,78.0,0.07699860609437924,1.0,4.847313252005889e-05,2.0,0.001949428678472756,672.0
79,79.0,0.0727840658555998,1.0,5.260961881504855e-05,2.0,0.0019494959001403057,673.0
80,80.0,0.06908442590615886,1.0,5.6822686292538043e-05,2.0,0.001949566905988797,674.0
81,81.0,0.06581041042405111,1.0,6.111466631193767e-05,2.0,0.0019496419836908371,675.0
82,82.0,0.06289194548108393,1.0,6.548779550852417e-05,2.0,0.0019497213671812686,676.0
83,83.0,0.06027327061832296,1.0,6.994421355917367e-05,2.0,0.0019498052598915338,677.0
84,84.0,0.05790947193551125,1.0,7.448596088774314e-05,2.0,0.0019498939396896708,678.0
85,85.0,0.055763976743510274,1.0,7.911497631537905e-05,2.0,0.0019499877380078111,679.0
86,86.0,0.053806712111651465,1.0,8.383309468772914e-05,2.0,0.0019500869524248488,680.0
87,87.0,0.05201273057084844,1.0,8.86420445133505e-05,2.0,0.0019501918480593684,681.0
88,88.0,0.05036117044779198,1.0,9.35434456226854e-05,2.0,0.001950302693454422,682.0
89,89.0,0.04883445964853738,1.0,9.853880684521263e-05,2.0,0.0019504197620279545,683.0
90,90.0,0.047417698810768,1.0,0.00010362952372264946,2.0,0.001950543306518692,684.0
91,91.0,0.04609817818946156,1.0,0.00010881687629727446,2.0,0.0019506735516340939,685.0
92,92.0,0.0448649956070606,1.0,0.00011410202700528828,2.0,0.0019508107540021275,686.0
93,93.0,0.04370875180348213,1.0,0.00011948601868179388,2.0,0.0019509552092015108,687.0
94,94.0,0.04262130556747083,1.0,0.00012496977268468262,2.0,0.0019511072110336134,688.0
95,95.0,0.04159557526333959,1.0,0.00013055408716980643,2.0,0.00195126701726719,689.0
96,96.0,0.040625376694587115,1.0,0.00013623963555977676,2.0,0.0019514348575247454,690.0
97,97.0,0.039705289850015736,1.0,0.00014202696522794646,2.0,0.0019516109619214159,691.0
98,98.0,0.038830548811757966,1.0,0.00014791649640237873,2.0,0.0019517955658934227,692.0
99,99.0,0.037996950199754874,1.0,0.00015390852130847655,2.0,0.001951988910225843,693.0
100,100.0,0.037200776489297566,1.0,0.000160003203586536,2.0,0.0019521912189716128,694.0
101,101.0,0.036438731487011926,1.0,0.00016620057800865816,2.0,0.001952402699356248,695.0
102,102.0,0.035707885879377295,1.0,0.00017250055049777857,2.0,0.0019526235651630996,696.0
103,103.0,0.03500563102826354,1.0,0.00017890289845783023,2.0,0.001952854037670764,697.0
104,104.0,0.034329639455062476,1.0,0.00018540727144359862,2.0,0.0019530943213223076,698.0
105,105.0,0.033677830885725374,1.0,0.00019201319218983264,2.0,0.0019533446033397667,699.0
106,106.0,0.03304834305488491,1.0,0.00019872005799073444,2.0,0.001953605062858719,700.0
107,107.0,0.03243950650451797,1.0,0.00020552714241640422,2.0,0.001953875852496163,701.0
108,108.0,0.0318498226233942,1.0,0.00021243359737241135,2.0,0.0019541570896570697,702.0
109,109.0,0.03127794444871099,1.0,0.00021943845550665637,2.0,0.0019544488662448906,703.0
110,110.0,0.030722659948322278,1.0,0.000226540632936993,2.0,0.0019547512628418982,704.0
111,111.0,0.030182877359156954,1.0,0.00023373893227274654,2.0,0.0019550643453634083,705.0
112,112.0,0.029657612190240407,1.0,0.00024103204593109095,2.0,0.0019553881575800685,706.0
113,113.0,0.029145975752980363,1.0,0.0002484185597331555,2.0,0.0019557227246899175,707.0
114,114.0,0.028647165087407563,1.0,0.0002558969567376616,2.0,0.001956068034033391,708.0
115,115.0,0.028160454062739676,1.0,0.0002634656212907727,2.0,0.0019564240432757203,709.0
116,116.0,0.02768518547625324,1.0,0.0002711228432901088,2.0,0.0019567906925689175,710.0
117,117.0,0.027220764075747104,1.0,0.00027886682265147354,2.0,0.001957167885157671,711.0
118,118.0,0.02676665042044939,1.0,0.0002866956739600246,2.0,0.001957555485830596,712.0
119,119.0,0.026322355402424908,1.0,0.0002946074313024491,2.0,0.001957953346950435,713.0
120,120.0,0.02588743534866534,1.0,0.00030260005328668576,2.0,0.0019583613087000916,714.0
121,121.0,0.0254614876945795,1.0,0.0003106714282340662,2.0,0.001958779207135411,715.0
122,122.0,0.025044147091834022,1.0,0.0003188193795283303,2.0,0.0019592069070881123,716.0
123,123.0,0.024635081858511473,1.0,0.00032704167112514106,2.0,0.001959644278524821,717.0
124,124.0,0.024233990764133226,1.0,0.00033533601320347823,2.0,0.001960091126349296,718.0
125,125.0,0.023840600078698634,1.0,0.0003437000679252224,2.0,0.0019605471352865888,719.0
126,126.0,0.023454660838437794,1.0,0.00035213145527857926,2.0,0.0019610119245479884,720.0
127,127.0,0.02307594630163338,1.0,0.0003606277589682119,2.0,0.0019614851288584103,721.0
